Target,Common name,Uniprot ID,ChEMBL ID,Target Class,Probability*,Known actives (3D/2D),,Compuesto
Adenosine A1 receptor   (by homology),ADORA1,P30542,CHEMBL226,Family A G protein-coupled receptor,0.074392272,189 /  2     ,,E
Oxytocin receptor,OXTR,P30559,CHEMBL2049,Family A G protein-coupled receptor,0.074392272,23 /  0     ,,E
Complement factor D,CFD,P00746,CHEMBL2176771,Protease,0.074392272,69 /  0     ,,E
Bromodomain-containing protein 4,BRD4,O60885,CHEMBL1163125,Reader,0.074392272,43 /  0     ,,E
Potassium channel subfamily K member 3,KCNK3,O14649,CHEMBL2321613,Voltage-gated ion channel,0.074392272,26 /  0     ,,E
CREB-binding protein/p53,CREBBP,Q92793,CHEMBL5747,Writer,0.074392272,14 /  0     ,,E
Leucine-rich repeat serine/threonine-protein kinase 2,LRRK2,Q5S007,CHEMBL1075104,Kinase,0.074392272,120 /  0     ,,E
Tyrosine-protein kinase JAK3,JAK3,P52333,CHEMBL2148,Kinase,0.074392272,136 /  0     ,,E
Tyrosine-protein kinase JAK2,JAK2,O60674,CHEMBL2971,Kinase,0.074392272,178 /  0     ,,E
11-beta-hydroxysteroid dehydrogenase 1,HSD11B1,P28845,CHEMBL4235,Enzyme,0.074392272,173 /  27     ,,E
Renin,REN,P00797,CHEMBL286,Protease,0.074392272,427 /  0     ,,E
Poly [ADP-ribose] polymerase-1,PARP1,P09874,CHEMBL3105,Enzyme,0.074392272,79 /  0     ,,E
Serotonin 6 (5-HT6) receptor,HTR6,P50406,CHEMBL3371,Family A G protein-coupled receptor,0.074392272,72 /  0     ,,E
Serine/threonine-protein kinase PIM1,PIM1,P11309,CHEMBL2147,Kinase,0.074392272,127 /  0     ,,E
Serine/threonine-protein kinase PIM2,PIM2,Q9P1W9,CHEMBL4523,Kinase,0.074392272,93 /  0     ,,E
Serine/threonine-protein kinase PIM3,PIM3,Q86V86,CHEMBL5407,Kinase,0.074392272,69 /  0     ,,E
MAP kinase p38 alpha,MAPK14,Q16539,CHEMBL260,Kinase,0.074392272,207 /  0     ,,E
Caspase-3,CASP3,P42574,CHEMBL2334,Protease,0.074392272,65 /  0     ,,E
Caspase-7,CASP7,P55210,CHEMBL3468,Protease,0.074392272,41 /  0     ,,E
MAP kinase ERK2,MAPK1,P28482,CHEMBL4040,Kinase,0.074392272,220 /  0     ,,E
Insulin-like growth factor I receptor,IGF1R,P08069,CHEMBL1957,Kinase,0.074392272,92 /  0     ,,E
Delta opioid receptor,OPRD1,P41143,CHEMBL236,Family A G protein-coupled receptor,0.074392272,501 /  2     ,,E
Thromboxane-A synthase,TBXAS1,P24557,CHEMBL1835,Cytochrome P450,0.074392272,13 /  0     ,,E
p53-binding protein Mdm-2,MDM2,Q00987,CHEMBL5023,Other nuclear protein,0.074392272,177 /  0     ,,E
Quinone reductase 1,NQO1,P15559,CHEMBL3623,Enzyme,0.074392272,4 /  0     ,,E
P2X purinoceptor 7,P2RX7,Q99572,CHEMBL4805,Ligand-gated ion channel,0.074392272,24 /  0     ,,E
Signal transducer and activator of transcription 3,STAT3,P40763,CHEMBL4026,Transcription factor,0.074392272,7 /  15     ,,E
Protein Wnt-3a,WNT3A,P56704,CHEMBL1255137,Unclassified protein,0.074392272,13 /  0     ,,E
Tankyrase-2,TNKS2,Q9H2K2,CHEMBL6154,Enzyme,0.074392272,19 /  0     ,,E
Stem cell growth factor receptor,KIT,P10721,CHEMBL1936,Kinase,0.074392272,32 /  0     ,,E
Kinesin-1 heavy chain/ Tyrosine-protein kinase receptor RET,RET,P07949,CHEMBL2041,Kinase,0.074392272,19 /  0     ,,E
Dopamine D1 receptor,DRD1,P21728,CHEMBL2056,Family A G protein-coupled receptor,0.074392272,35 /  0     ,,E
Tyrosine-protein kinase LCK,LCK,P06239,CHEMBL258,Kinase,0.074392272,49 /  0     ,,E
Peptide N-myristoyltransferase 1,NMT1,P30419,CHEMBL2593,Enzyme,0.074392272,5 /  0     ,,E
Tyrosine-protein kinase TYK2,TYK2,P29597,CHEMBL3553,Kinase,0.074392272,58 /  0     ,,E
MAP kinase signal-integrating kinase 2,MKNK2,Q9HBH9,CHEMBL4204,Kinase,0.074392272,18 /  0     ,,E
ALK tyrosine kinase receptor,ALK,Q9UM73,CHEMBL4247,Kinase,0.074392272,24 /  0     ,,E
Ephrin receptor,EPHB4,P54760,CHEMBL5147,Kinase,0.074392272,32 /  0     ,,E
Muscle glycogen synthase,GYS1,P13807,CHEMBL4000,Enzyme,0.074392272,5 /  0     ,,E
Adenosine deaminase,ADA,P00813,CHEMBL1910,Hydrolase,0.074392272,23 /  0     ,,E
Tyrosine-protein kinase SYK,SYK,P43405,CHEMBL2599,Kinase,0.074392272,132 /  0     ,,E
Dual specificity mitogen-activated protein kinase kinase 1,MAP2K1,Q02750,CHEMBL3587,Kinase,0.074392272,158 /  0     ,,E
Serine/threonine-protein kinase Aurora-A,AURKA,O14965,CHEMBL4722,Kinase,0.074392272,120 /  0     ,,E
Insulin receptor,INSR,P06213,CHEMBL1981,Kinase,0.074392272,14 /  0     ,,E
