Target,Common name,Uniprot ID,ChEMBL ID,Target Class,Probability*,Known actives (3D/2D),,Compuesto
Histone deacetylase 3/Nuclear receptor corepressor 2 (HDAC3/NCoR2),NCOR2 HDAC3,Q9Y618 O15379,CHEMBL2111363,Eraser,0.074392272,5 /  0     ,,G
Histone deacetylase 8,HDAC8,Q9BY41,CHEMBL3192,Eraser,0.074392272,12 /  0     ,,G
DNA-dependent protein kinase,PRKDC,P78527,CHEMBL3142,Kinase,0.074392272,81 /  0     ,,G
Delta opioid receptor,OPRD1,P41143,CHEMBL236,Family A G protein-coupled receptor,0.074392272,475 /  1     ,,G
Arachidonate 5-lipoxygenase,ALOX5,P09917,CHEMBL215,Oxidoreductase,0.074392272,38 /  5     ,,G
11-beta-hydroxysteroid dehydrogenase 1,HSD11B1,P28845,CHEMBL4235,Enzyme,0.074392272,145 /  22     ,,G
Kinesin-1 heavy chain/ Tyrosine-protein kinase receptor RET,RET,P07949,CHEMBL2041,Kinase,0.074392272,17 /  0     ,,G
Tyrosine-protein kinase LCK,LCK,P06239,CHEMBL258,Kinase,0.074392272,42 /  0     ,,G
Tyrosine-protein kinase TYK2,TYK2,P29597,CHEMBL3553,Kinase,0.074392272,55 /  0     ,,G
MAP kinase signal-integrating kinase 2,MKNK2,Q9HBH9,CHEMBL4204,Kinase,0.074392272,17 /  0     ,,G
ALK tyrosine kinase receptor,ALK,Q9UM73,CHEMBL4247,Kinase,0.074392272,19 /  0     ,,G
Ephrin receptor,EPHB4,P54760,CHEMBL5147,Kinase,0.074392272,33 /  0     ,,G
Bromodomain-containing protein 4,BRD4,O60885,CHEMBL1163125,Reader,0.074392272,45 /  0     ,,G
Protein Wnt-3a,WNT3A,P56704,CHEMBL1255137,Unclassified protein,0.074392272,9 /  0     ,,G
Tyrosine-protein kinase FYN,FYN,P06241,CHEMBL1841,Kinase,0.074392272,14 /  0     ,,G
Tyrosine-protein kinase YES,YES1,P07947,CHEMBL2073,Kinase,0.074392272,14 /  0     ,,G
Serine/threonine-protein kinase Aurora-B,AURKB,Q96GD4,CHEMBL2185,Kinase,0.074392272,69 /  0     ,,G
Tyrosine-protein kinase SRC,SRC,P12931,CHEMBL267,Kinase,0.074392272,109 /  0     ,,G
Serine/threonine-protein kinase Aurora-A,AURKA,O14965,CHEMBL4722,Kinase,0.074392272,101 /  0     ,,G
CREB-binding protein/p53,CREBBP,Q92793,CHEMBL5747,Writer,0.074392272,13 /  0     ,,G
