Target,Common name,Uniprot ID,ChEMBL ID,Target Class,Probability*,Known actives (3D/2D),,Compuesto
"Nitric oxide synthase, inducible   (by homology)",NOS2,P35228,CHEMBL4481,Enzyme,0.074392272,12 /  13     ,,I
Adenosine A3 receptor,ADORA3,P0DMS8,CHEMBL256,Family A G protein-coupled receptor,0.074392272,176 /  0     ,,I
Complement factor D,CFD,P00746,CHEMBL2176771,Protease,0.074392272,57 /  0     ,,I
P2X purinoceptor 3,P2RX3,P56373,CHEMBL2998,Ligand-gated ion channel,0.074392272,241 /  0     ,,I
11-beta-hydroxysteroid dehydrogenase 1,HSD11B1,P28845,CHEMBL4235,Enzyme,0.074392272,146 /  25     ,,I
Leucine-rich repeat serine/threonine-protein kinase 2,LRRK2,Q5S007,CHEMBL1075104,Kinase,0.074392272,114 /  0     ,,I
Bromodomain-containing protein 4,BRD4,O60885,CHEMBL1163125,Reader,0.074392272,42 /  0     ,,I
CREB-binding protein/p53,CREBBP,Q92793,CHEMBL5747,Writer,0.074392272,13 /  0     ,,I
Caspase-3,CASP3,P42574,CHEMBL2334,Protease,0.074392272,54 /  0     ,,I
DNA-dependent protein kinase,PRKDC,P78527,CHEMBL3142,Kinase,0.074392272,77 /  0     ,,I
Caspase-7,CASP7,P55210,CHEMBL3468,Protease,0.074392272,36 /  0     ,,I
ADAM17,ADAM17,P78536,CHEMBL3706,Protease,0.074392272,109 /  0     ,,I
Thrombin,F2,P00734,CHEMBL204,Protease,0.074392272,83 /  9     ,,I
Tyrosine-protein kinase JAK3,JAK3,P52333,CHEMBL2148,Kinase,0.074392272,121 /  0     ,,I
Tyrosine-protein kinase JAK2,JAK2,O60674,CHEMBL2971,Kinase,0.074392272,162 /  0     ,,I
Serotonin 6 (5-HT6) receptor,HTR6,P50406,CHEMBL3371,Family A G protein-coupled receptor,0.074392272,60 /  0     ,,I
p53-binding protein Mdm-2,MDM2,Q00987,CHEMBL5023,Other nuclear protein,0.074392272,147 /  0     ,,I
Potassium channel subfamily K member 3,KCNK3,O14649,CHEMBL2321613,Voltage-gated ion channel,0.074392272,27 /  0     ,,I
Hepatocyte growth factor receptor,MET,P08581,CHEMBL3717,Kinase,0.074392272,80 /  0     ,,I
Apoptosis regulator Bcl-X,BCL2L1,Q07817,CHEMBL4625,Other ion channel,0.074392272,4 /  3     ,,I
Renin,REN,P00797,CHEMBL286,Protease,0.074392272,325 /  0     ,,I
Potassium-transporting ATPase alpha chain 2,ATP12A,P54707,CHEMBL2933,Primary active transporter,0.074392272,0 /  9     ,,I
Transient receptor potential cation channel subfamily V member 4,TRPV4,Q9HBA0,CHEMBL3119,Voltage-gated ion channel,0.074392272,5 /  5     ,,I
Protein Wnt-3a,WNT3A,P56704,CHEMBL1255137,Unclassified protein,0.074392272,11 /  0     ,,I
MAP kinase ERK1,MAPK3,P27361,CHEMBL3385,Kinase,0.074392272,14 /  0     ,,I
Tankyrase-2,TNKS2,Q9H2K2,CHEMBL6154,Enzyme,0.074392272,17 /  0     ,,I
Dual specificity mitogen-activated protein kinase kinase 1,MAP2K1,Q02750,CHEMBL3587,Kinase,0.074392272,155 /  0     ,,I
Muscle glycogen synthase,GYS1,P13807,CHEMBL4000,Enzyme,0.074392272,5 /  0     ,,I
Matrix metalloproteinase 8,MMP8,P22894,CHEMBL4588,Protease,0.074392272,43 /  0     ,,I
Oxytocin receptor,OXTR,P30559,CHEMBL2049,Family A G protein-coupled receptor,0.074392272,14 /  0     ,,I
Phosphodiesterase 4B,PDE4B,Q07343,CHEMBL275,Phosphodiesterase,0.074392272,23 /  0     ,,I
Matrix metalloproteinase 3,MMP3,P08254,CHEMBL283,Protease,0.074392272,89 /  0     ,,I
Signal transducer and activator of transcription 3,STAT3,P40763,CHEMBL4026,Transcription factor,0.074392272,6 /  9     ,,I
Brain adenylate cyclase 1,ADCY1,Q08828,CHEMBL2899,Enzyme,0.074392272,35 /  31     ,,I
3-phosphoinositide dependent protein kinase-1,PDPK1,O15530,CHEMBL2534,Kinase,0.074392272,19 /  0     ,,I
Cyclin-dependent kinase 2/cyclin E,CCNE2 CDK2 CCNE1,O96020 P24941 P24864,CHEMBL2094126,Other cytosolic protein,0.074392272,50 /  0     ,,I
CDK2/Cyclin A,CCNA2 CDK2,P20248 P24941,CHEMBL3038469,Kinase,0.074392272,19 /  0     ,,I
Beta secretase 2,BACE2,Q9Y5Z0,CHEMBL2525,Protease,0.074392272,58 /  0     ,,I
Quinone reductase 1,NQO1,P15559,CHEMBL3623,Enzyme,0.074392272,4 /  0     ,,I
Peroxisome proliferator-activated receptor delta,PPARD,Q03181,CHEMBL3979,Nuclear receptor,0.074392272,0 /  3     ,,I
